text,label
행사해서저렴하게샀어요,0
조작하기가 힘들고 사용하기가 불편함,0
롯데가 보증하는 사각 에어프라이어 매우 만족 합니다. 우선 다이얼방식이 아닌 디지털LCD로터치스크린 간편조작으로 매우 편리하고 대용량으로 한번에 조리가 가능하며 스테인레스 강판과고속공기순환 신기술  적용으로  더이상의 에어프라이어는 없을것 같습니다. 모든분께 적극추천 합니다.,0
이사 정리도 못 끝냈는데..딜이 떴다 하여 일단 결제..배송 무지 빨랐어요~엊그제 세척하려고 뜯어보니 내부에 찍힌 곳이 2군데나 있더라구요ㅜㅜ 또 제가 산 화이트는 단종되고 화이트2가 나온대서 기분이 안좋네용..ㅜㅜ 근데 기존 화이트가 앞면이 메탈이라 이뻐서 사용하려고 하네요~찍힌 부분은 문의글 남겼는데 제가 별도로 스마일배송에 전화해야 된다 해서..번거롭고 규ㅓ찮아서.그냥 쓰려구요~이뿌긴 진짜 이쁘네요~,0
안쪽이 잘 보이면 좋은데 코팅이 찐하네요,0
설선물로 집에 에어프라이어 사드렸는데 가족 모두 만족하고 있어요？？？？,0
저렴해서 잘 샀어요,0
잘 받아서시험삼아 감자튀김을 해보니만족스럽네요.소음과 뒷쪽 발열은  상당히 부담스럽네요.,0
가격대비 만족 합니다! 배송도 빠르고 좋아요,0
튼튼하고 사용하기 좋습니다~,0
친정 엄마께서  매우 만족 하다고 하시네요~^^  지펠 사용하다 고장이 나서 일반냉장고로 사신다고 해서 주문해 드렸는데 용량도 크고 나이드신 분들이 더 사용 하기 좋다고 하셔서  사드린 보람이 있네요 ~ 폐가전도 잘 수거해 주셨다고 하시네요~,0
디자인이 너무 이뻐요...배송도 예정일자보다 일찍 도착해서 받자마자 작동되는지 돌려 봤어요,0
생가보다  크고  깔끔해요,0
잘되는거 같다 필요할거 같아 샀는데 잘쓰지는 않는다,0
배송도 엄청 빠르고 물건도 아주 마음에 듭니당,0
아직잘모르겠어요. . 투시창이 미러형이라하나도안보이네요ㅋ조금보였으면좋았을것같은데요ㅋ,0
크기도 알맞고 디자인도 예뻐서 맘에 드는데다 배송까지 빨라요.,0
좋습니다다음에또구매할께요,0
저렴한 가격에 아주 잘 샀습니다. 배송도 좋고요 감사합니다.,0
LG냉장고B507SEM507L 실물이훨씬좋네요^^가성비완전굿입니다 소음도거의없구요 잘쓸께요^^많이파세요^^,0
빠른 배송에 사진과 동일한 모습에 만족합니다.요리는 장비빨이라는데 확인해 봐야 겠네요^^,0
